date,usgs_q_m3s,physics_q_m3s,ml_q_m3s,usgs_stage_ft,physics_stage_ft,ml_stage_ft
2018-09-14,268.44,108.01,89.05,13.560,8.739,8.079
2018-09-15,376.61,383.05,169.54,21.180,21.379,10.554
2018-09-16,478.55,674.17,455.79,22.850,24.512,22.533
2018-09-17,826.85,936.69,823.65,25.980,27.000,25.919
2018-09-18,1039.23,1001.03,897.80,27.600,27.552,27.040
2018-09-19,1036.40,1000.12,891.27,27.600,27.526,27.017
2018-09-20,942.95,942.67,760.78,27.210,27.284,26.126
2018-09-21,792.87,841.70,743.65,26.320,26.646,25.998
2018-09-22,637.13,734.97,607.94,25.180,25.936,24.900
2018-09-23,509.70,638.50,586.17,23.880,25.197,24.680
